,descretePN,Word,PN
0,0,２，３日,0.0
1,0,10%,0.0
2,0,100%,0.0
3,0,25%,0.0
4,0,80%,0.0
5,0,１０カ月,0.0
6,0,１０時間,0.0
7,0,１０数年,0.0
8,0,１０年以上,0.0
9,0,１０年近く,0.0
10,0,１１ヶ月,0.0
11,0,１１年,0.0
12,0,１２年,0.0
13,0,１３年,0.0
14,0,１４年,0.0
15,0,１５秒,0.0
16,0,１６年,0.0
17,0,１７年,0.0
18,0,１９年,0.0
19,0,１バイト,0.0
20,1,１位,1.0
21,0,１割,0.0
22,0,１時間以上,0.0
23,0,１時間以内,0.0
24,0,１時間半,0.0
25,1,１周年記念,1.0
26,0,１週間以上,0.0
27,1,１勝,1.0
28,0,１体,0.0
29,0,１通,0.0
30,0,１日分,0.0
31,0,１年近く,0.0
32,1,１番,1.0
33,0,１品,0.0
34,0,１文,0.0
35,0,２０年以上,0.0
36,0,２０年近く,0.0
37,0,２３時間,0.0
38,0,２か月,0.0
39,0,２ヵ月,0.0
40,0,２位,0.0
41,0,２階席,0.0
42,0,２件目,0.0
43,0,２時間,0.0
44,0,２時間以上,0.0
45,0,２時間半,0.0
46,-1,２次感染,-1.0
47,-1,２失点,-1.0
48,0,２勝１敗,0.0
49,0,２択,0.0
50,0,２日,0.0
51,0,２年近く,0.0
52,0,２年半,0.0
53,0,３０分位,0.0
54,0,３０分程度,0.0
55,0,３４年,0.0
56,0,３５年,0.0
57,0,３９歳,0.0
58,0,３Ｒ,0.0
59,0,３か月,0.0
60,0,３タテ,0.0
61,0,３チーム,0.0
62,0,３位,0.0
63,0,３回連続,0.0
64,0,３割負担,0.0
65,0,３週間,0.0
66,0,３酔い,0.0
67,0,３連打,0.0
68,-1,３連敗,-1.0
69,0,４か月,0.0
70,0,４回目,0.0
71,0,４時間,0.0
72,0,４日,0.0
73,0,４年,0.0
74,0,５０日,0.0
75,0,５０年以上,0.0
76,0,６００円,0.0
77,0,６年,0.0
78,0,７ヶ月,0.0
79,0,７年,0.0
80,0,７番,0.0
81,0,８カ月,0.0
82,0,８ヶ月,0.0
83,0,８割,0.0
84,0,９ヶ月,0.0
85,0,９年,0.0
86,0,９番,0.0
87,0,ＡＤ,0.0
88,-1,ＡＩＤＳ,-0.99375
89,1,ＡＴフィールド,1.0
90,0,Ａｍａｚｏｎ,0.0
91,-1,Ａ型肝炎,-1.0
92,0,ＢＢＣ,0.0
93,1,ＢＩＧ,1.0
94,-1,ＢＯＴ,-1.0
95,-1,ＢＳＥ,-1.0
96,0,ＣＤ,0.0
97,0,ＣＮＮ,0.0
98,-1,Ｃ型肝炎,-1.0
99,-1,ＤＶ,-1.0
100,0,ＤＶＤ化,0.0
101,0,ＤｏＳ,0.0
102,-1,ＥＤ,-1.0
103,0,ＥＳ,0.0
104,0,ＦＡＱ,0.0
105,-1,ＨＩＶ,-1.0
106,-1,ＨＩＶ感染,-1.0
107,0,ＨＰ,0.0
108,0,ＨＴＭＬ,0.0
109,0,ＩＴ化,0.0
110,0,ＩＴ投資,0.0
111,1,ＫＯ,1.0
112,0,ＭＲＳＡ,0.0
113,-1,ＮＧ,-0.242716
114,0,ＯＫ,0.0
115,0,ＯＬ,0.0
116,0,ＯＰＡＣ,0.0
117,-1,ＰＭＳ,-1.0
118,0,ＰＲ,0.0
119,-1,ＰＴＳＤ,-1.0
120,0,Ｑ＆Ａ,0.0
121,0,ＲＡＭ,0.0
122,0,ＲＦＣ,0.0
123,0,ＲＳＳ,0.0
124,-1,ＳＡＲＳ,-1.0
125,0,ＳＥ,0.0
126,0,ＳＰＡＭ,0.0
127,0,ＳＱＬ,0.0
128,0,ＳＳ,0.0
129,-1,ＴＫＯ,-1.0
130,0,Ｖｅｃｔｏｒ,0.0
131,0,ＷＷＥ,0.0
132,0,Ｗｅｂ検索,0.0
133,0,Ｗｉｎｎｙ,0.0
134,0,ｃｏｒｅ,0.0
135,0,ｅｎｄ,0.0
136,0,ｈｔｍｌ,0.0
137,0,ｈｔｔｐ,0.0
138,0,ｔｘｔ,0.0
139,0,あいさつ,0.0
140,0,あいだ,0.0
141,0,あいつら,0.0
142,-1,あいまい,-1.0
143,0,あいまいさ,0.0
144,0,あえぎ,0.0
145,0,あかし,0.0
146,-1,あからさま,-1.0
147,-1,あきらめ,-1.0
148,0,あく,0.0
149,1,あく抜け,1.0
150,1,あこがれ,1.0
151,0,あご,0.0
152,1,あざやか,1.0
153,0,あし,0.0
154,-1,あせも,-1.0
155,0,あたしたち,0.0
156,1,あたたかさ,1.0
157,-1,あだ,-1.0
158,-1,あだおろそか,-1.0
159,-1,あだおろそか・あだやおろそか,-1.0
160,-1,あだやおろそか,-1.0
161,0,あちら,0.0
162,0,あっさり,0.0
163,0,あっし,0.0
164,1,あっぱれ,1.0
165,1,あでやか,1.0
166,1,あどけなさ,1.0
167,0,あなたがた,0.0
168,1,あなたらしさ,1.0
169,1,ありがたさ,1.0
170,1,ありがたみ,1.0
171,-1,ありがた迷惑,-1.0
172,0,ありのまま,0.0
173,0,あるがまま,0.0
174,0,あわ,0.0
175,0,あんばい,0.0
176,0,いい加減,0.0
177,1,いい気持ち,1.0
178,1,いい気持ち／気分,1.0
179,1,いい気分,1.0
180,-1,いかがわしさ,-1.0
181,-1,いかさま,-1.0
182,-1,いさかい,-1.0
183,-1,いざこざ,-0.573411
184,0,いざとい,0.0
185,-1,いじめ,-1.0
186,1,いじらしさ,1.0
187,-1,いたずら,-1.0
188,-1,いたずら電話,-1.0
189,0,いたちごっこ,0.0
190,-1,いたみ,-1.0
191,1,いたわり,1.0
192,0,いっさい,0.0
193,0,いっぱい,0.0
194,1,いとしさ,1.0
195,1,いのち,1.0
196,-1,いばらの道,-1.0
197,-1,いびき,-1.0
198,-1,いびり,-1.0
199,-1,いぼ,-1.0
200,0,いやおう,0.0
201,-1,いやらしさ,-1.0
202,-1,いらいら,-1.0
203,-1,いらだち,-1.0
204,0,いろんなの,0.0
205,0,いわれ,0.0
206,-1,うかうか,-0.40199
207,-1,うかつ,-1.0
208,0,うがい,0.0
209,-1,うさ,-1.0
210,-1,うさんくささ,-1.0
211,-1,うずき,-1.0
212,-1,うそ,-0.770524
213,-1,うそっぱち,-1.0
214,-1,うそ偽り,-1.0
215,-1,うそ八百,-1.0
216,-1,うたぐり,-1.0
217,0,うたた寝,0.0
218,-1,うだうだ,-1.0
219,-1,うっかり,-0.7212529999999999
220,0,うっちゃり,0.0
221,1,うってつけ,0.9912040000000001
222,-1,うっぷん,-1.0
223,-1,うっ血,-1.0
224,-1,うつ,-1.0
225,-1,うつ状態,-1.0
226,-1,うつ病,-1.0
227,0,うつ伏せ,0.0
228,0,うなじ,0.0
229,0,うねり,0.0
230,0,うぶ,0.0
231,1,うまさ,1.0
232,1,うまみ,1.0
233,1,うま味,1.0
234,-1,うらみ,-1.0
235,-1,うらやみ,-1.0
236,-1,うるささ,-1.0
237,0,うれしがらせ,0.0
238,1,うれしさ,1.0
239,0,うろ覚え,0.0
240,0,うわさ,0.0
241,-1,えぐみ,-1.0
242,0,えびす顔,0.0
243,0,えんま顔,0.0
244,-1,えん罪,-1.0
245,1,おいしさ,1.0
246,-1,おいてきぼり,-1.0
247,-1,おいてけぼり,-1.0
248,0,おおまか,0.0
249,1,おかげ,1.0
250,0,おかしさ,0.0
251,1,おかぼれ,1.0
252,0,おかめ,0.0
253,0,おけら,0.0
254,1,おこづかい,1.0
255,-1,おざなり,-1.0
256,-1,おしさ,-1.0
257,1,おしゃれ,1.0
258,-1,おじけ,-1.0
259,-1,おせっかい,-1.0
260,-1,おそれ,-1.0
261,-1,おぞましさ,-1.0
262,-1,おたふく,-1.0
263,-1,おたふく風邪,-1.0
264,0,おだて,0.0
265,-1,おだぶつ,-1.0
266,1,おだやか,1.0
267,-1,おちおち,-1.0
268,-1,おっくう,-1.0
269,0,おっとり,0.0
270,0,おっぱい,0.0
271,-1,おでき,-0.6463260000000001
272,-1,おなら,-0.33731500000000003
273,-1,おねしょ,-1.0
274,0,おばけ,0.0
275,0,おぼこ,0.0
276,1,おまけ,0.983517
277,0,おまんこ,0.0
278,0,おみやげ,0.0
279,0,おむつ,0.0
280,1,おめでた,0.9732350000000001
281,1,おもしろさ,1.0
282,0,おもてなし,0.0
283,-1,おもらし,-1.0
284,-1,おろそか,-1.0
285,1,おカネ,1.0
286,1,おニュー,1.0
287,0,お安い御用,0.0
288,1,お陰,1.0
289,1,お陰さま,1.0
290,1,お陰様,1.0
291,-1,お隠れ,-0.986558
292,-1,お化け,-0.35394899999999996
293,-1,お家騒動,-1.0
294,0,お花,0.0
295,0,お花畑,0.0
296,1,お楽しみ,1.0
297,0,お気持ち,0.0
298,0,お客,0.0
299,0,お客さま,0.0
300,1,お客様,1.0
301,0,お客様ご自身,0.0
302,1,お給料,1.0
303,0,お許し,0.0
304,0,お近付き,0.0
305,1,お金,1.0
306,0,お決まり,0.0
307,0,お見舞い,0.0
308,0,お言葉,0.0
309,1,お祭り気分,1.0
310,0,お札,0.0
311,-1,お仕置き,-1.0
312,0,お使い,0.0
313,0,お姉ちゃん,0.0
314,0,お子さま,0.0
315,0,お持ち,0.0
316,0,お時間,0.0
317,-1,お邪魔,-1.0
318,1,お手ごろ価格,1.0
319,1,お手頃価格,1.0
320,-1,お手上げ,-0.0888293
321,0,お手伝い,0.0
322,0,お宿,0.0
323,0,お祝い,0.0
324,0,お出かけ,0.0
325,1,お小遣い,1.0
326,1,お笑い,1.0
327,1,お上手,1.0
328,1,お色気,1.0
329,0,お人好し,0.0
330,1,お人柄,1.0
331,0,お世辞抜き,0.0
332,0,お世話,0.0
333,-1,お説教,-1.0
334,0,お体,0.0
335,0,お題目,0.0
336,1,お知恵,1.0
337,0,お定まり,0.0
338,0,お店,0.0
339,0,お電話,0.0
340,0,お土産,0.0
341,0,お湯,0.0
342,0,お答え,0.0
343,1,お得,1.0
344,1,お得感,1.0
345,1,お年玉,1.0
346,-1,お疲れ,-1.0
347,0,お付き合い,0.0
348,1,お布施,1.0
349,0,お風邪,0.0
350,0,お風呂場,0.0
351,0,お別れ会,0.0
352,1,お返し,1.0
353,0,お返事,0.0
354,1,お便り,1.0
355,0,お墓,0.0
356,1,お墨付き,1.0
357,0,お面,0.0
358,-1,お門違い,-0.31185300000000005
359,-1,お役所仕事,-0.07290110000000001
360,0,お友達,0.0
361,0,お遊び,0.0
362,0,お預け,0.0
363,0,お力,0.0
364,0,お力添え,0.0
365,0,お礼,0.0
366,0,お話,0.0
367,-1,お咎め,-1.0
368,1,お洒落,0.056065199999999996
369,0,かい性,0.0
370,0,かかと,0.0
371,0,かぎり,0.0
372,-1,かぎ裂き,-1.0
373,-1,かげり,-1.0
374,0,かさ,0.0
375,0,かさぶた,0.0
376,-1,かさ上げ,-1.0
377,-1,かすり傷,-1.0
378,-1,かぜ,-1.0
379,0,かた,0.0
380,0,かたじけなさ,0.0
381,1,かっこよさ,1.0
382,-1,かっぱらい,-1.0
383,0,かつら,0.0
384,-1,かなしみ,-1.0
385,-1,かぶれ,-1.0
386,0,かもねぎ,0.0
387,-1,かゆさ,-1.0
388,-1,かゆみ,-1.0
389,1,かわいさ,1.0
390,-1,かわいそう,-1.0
391,1,かわいらしさ,1.0
392,0,がけ崩れ,0.0
393,-1,がた,-1.0
394,-1,がた落ち,-0.98967
395,0,がっしり,0.0
396,0,がっちり,0.0
397,0,がまん,0.0
398,0,がらがら,0.0
399,-1,がん,-1.0
400,-1,がん細胞,-1.0
401,1,きずな,1.0
402,0,きっかけ,0.0
403,-1,きつさ,-1.0
404,0,きびしさ,0.0
405,0,きまり,0.0
406,1,きめ細かさ,1.0
407,-1,きゃしゃ,-1.0
408,1,きらびやか,1.0
409,1,きりん児,1.0
410,1,きれい,1.0
411,-1,きれい事,-1.0
412,0,きわまり,0.0
413,-1,ぎこちなさ,-1.0
414,-1,ぎっくり腰,-0.46590699999999996
415,-1,ぎりぎり,-0.162992
416,0,ぎんぎん,0.0
417,0,くしゃみ,0.0
418,1,くじ運,1.0
419,0,くせ毛,0.0
420,1,くそ力,1.0
421,-1,くたくた,-1.0
422,-1,くたびれ,-1.0
423,-1,くたびれもうけ,-1.0
424,-1,くだらなさ,-1.0
425,0,くちびる,0.0
426,1,くつろぎ,1.0
427,-1,くどさ,-1.0
428,-1,くも膜下出血,-1.0
429,-1,くやしさ,-1.0
430,-1,くる病,-1.0
431,-1,ぐうたら,-0.69113
432,-1,ぐちゃぐちゃ,-0.692583
433,0,ぐりぐり,0.0
434,-1,けが,-1.0
435,-1,けがれ,-1.0
436,-1,けが人,-1.0
437,-1,けだるさ,-1.0
438,-1,けち,-0.9991620000000001
439,-1,けったい,-1.0
440,1,けなげ,1.0
441,0,けり,0.0
442,-1,けんか,-1.0
443,-1,けんか腰,-1.0
444,0,げき,0.0
445,0,げた,0.0
446,-1,げんなり,-0.757529
447,0,こいつら,0.0
448,1,こく,0.9527100000000001
449,0,ここ,0.0
450,0,ここら,0.0
451,-1,こそ泥,-0.592334
452,1,こだわり,1.0
453,-1,こちこち,-1.0
454,0,このまま,0.0
455,0,この世,0.0
456,-1,こび,-1.0
457,1,こまめ,1.0
458,1,こらえ性,1.0
459,-1,こわさ,-1.0
460,-1,こんとん,-1.0
461,0,ごあいさつ,0.0
462,-1,ごたごた,-0.856297
463,-1,ごたまぜ,-0.644471
464,-1,ごちゃまぜ,-1.0
465,-1,ごまかし,-1.0
466,-1,ごまのはえ,-1.0
467,-1,ごみ,-0.895066
468,0,ごみ減量,0.0
469,0,ごろごろ,0.0
470,0,ご愛顧,0.0
471,0,ご挨拶,0.0
472,0,ご案内,0.0
473,0,ご意見ご要望,0.0
474,1,ご縁,1.0
475,0,ご家庭,0.0
476,1,ご活躍,1.0
477,0,ご感想,0.0
478,0,ご希望,0.0
479,1,ご機嫌,1.0
480,0,ご協力,0.0
481,0,ご教示,0.0
482,1,ご興味,1.0
483,-1,ご苦労,-1.0
484,1,ご好評,1.0
485,0,ご講演,0.0
486,0,ご賛同,0.0
487,0,ご指示,0.0
488,0,ご指導,0.0
489,0,ご指導ご鞭撻,0.0
490,0,ご支援,0.0
491,0,ご支援ご協力,0.0
492,0,ご支持,0.0
493,0,ご主人様,0.0
494,0,ご祝辞,0.0
495,0,ご助言,0.0
496,0,ご紹介,0.0
497,-1,ご心配,-1.0
498,0,ご尽力,0.0
499,0,ご声援,0.0
500,0,ご先祖様,0.0
501,0,ご提案,0.0
502,-1,ご都合主義,-1.0
503,0,ご入金,0.0
504,0,ご配慮,0.0
505,-1,ご病気,-1.0
506,-1,ご不便,-1.0
507,0,ご返事,0.0
508,0,ご鞭撻,0.0
509,1,ご褒美,1.0
510,1,ご満足,1.0
511,-1,ご迷惑,-1.0
512,0,ご予約,0.0
513,0,ご要望,0.0
514,-1,ご利益,-1.0
515,0,ご了解,0.0
516,0,ご了承,0.0
517,0,ご連絡,0.0
518,1,さっぱり,0.793419
519,1,さばさば,0.989139
520,-1,さび,-1.0
521,-1,さびしさ,-1.0
522,-1,さみしさ,-1.0
523,0,さら,0.0
524,1,さわやか,1.0
525,1,さわやかさ,1.0
526,-1,ざらつき,-1.0
527,-1,ざわめき,-1.0
528,1,しあわせ,1.0
529,-1,しがらみ,-1.0
530,-1,しくじり,-1.0
531,-1,しこめ,-1.0
532,-1,しこり,-1.0
533,-1,したい放題,-1.0
534,-1,したたか,-1.0
535,1,しっかり,1.0
536,-1,しっぺ返し,-0.555828
537,-1,しつこさ,-1.0
538,1,しとやか,1.0
539,1,しなやか,1.0
540,1,しなやかさ,1.0
541,-1,しびれ,-1.0
542,-1,しみ,-1.0
543,0,しゃがれ声,0.0
544,-1,しゃっくり,-0.326986
545,1,しゃれ男,1.0
546,0,しゃんと,0.0
547,-1,しょっぱさ,-1.0
548,-1,しらふ,-1.0
549,0,しり押し,0.0
550,-1,しり切れ,-1.0
551,0,しるし,0.0
552,0,しるべ,0.0
553,-1,しわ,-1.0
554,-1,しわ寄せ,-1.0
555,-1,しんどさ,-1.0
556,-1,し損ない,-1.0
557,0,じかん,0.0
558,0,じっくり,0.0
559,0,じゅもん,0.0
560,-1,じり高,-1.0
561,-1,じり貧,-1.0
