descretePN	PN	verb
ポジ（評価）	1.0	優れる
ポジ（評価）	1.0	優れるた
ポジ（評価）	0.9999950000000001	物わかりが良い
ポジ（評価）	0.9999950000000001	見目良い
ポジ（評価）	0.9999950000000001	良いなる
ポジ（評価）	0.9999950000000001	良い
ポジ（評価）	0.9999950000000001	走り良い
ポジ（評価）	0.9999950000000001	ちょうど良い
ポジ（経験）	0.9999790000000001	喜ぶ
ポジ（評価）	0.9996450000000001	めでたい
ポジ（評価）	0.9994860000000001	賢い
ポジ（評価）	0.999295	適している
ポジ（経験）	0.999122	祝ってもらう
ポジ（評価）	0.998871	嬉しい
ポジ（評価）	0.998617	素晴らしい
ポジ（評価）	0.9985780000000001	芳しい
ポジ（評価）	0.9983559999999999	抜きんでる
ポジ（評価）	0.9982719999999999	雄雄しい
ポジ（評価）	0.998208	仕合せです
ポジ（評価）	0.998208	仕合せだ
ポジ（評価）	0.997777	秀でる
ポジ（評価）	0.997517	宜しい
ポジ（評価）	0.997325	気高い
ポジ（評価）	0.99726	麗しい
ポジ（評価）	0.997259	名高い
ポジ（評価）	0.9971049999999999	素早い
ポジ（評価）	0.9969870000000001	勇ましい
ポジ（評価）	0.996801	似つかわしい
ポジ（評価）	0.9967010000000001	超凡です
ポジ（評価）	0.9967010000000001	卓越
ポジ（評価）	0.9967010000000001	超凡だ
ポジ（評価）	0.9967010000000001	超凡の
ポジ（評価）	0.9966780000000001	たやすい
ポジ（経験）	0.9964270000000001	楽しむ
ポジ（評価）	0.9963270000000001	好ましい
ポジ（評価）	0.996273	白眉だ
ポジ（評価）	0.996273	白眉です
ポジ（評価）	0.996273	白眉の
ポジ（経験）	0.9958370000000001	楽しい
ポジ（評価）	0.9958	愛くるしい
ポジ（評価）	0.9957469999999999	堪能できる
ポジ（評価）	0.9957360000000001	喜ばしい
ポジ（評価）	0.995653	手厚い
ポジ（評価）	0.995553	剴切です
ポジ（評価）	0.995553	剴切だ
ポジ（評価）	0.995141	寛闊です
ポジ（評価）	0.995141	寛闊だ
ポジ（評価）	0.995129	きびきびする
ポジ（評価）	0.995129	きびきび
ポジ（評価）	0.994981	輝かしい
ポジ（評価）	0.9949049999999999	賛成
ポジ（評価）	0.9948229999999999	似合しい
ポジ（評価）	0.9947290000000001	思わしい
ポジ（評価）	0.9945930000000001	雄偉です
ポジ（評価）	0.9945930000000001	雄偉だ
ポジ（評価）	0.9945930000000001	雄偉の
ポジ（評価）	0.9944139999999999	満足
ポジ（評価）	0.9944139999999999	満足する
ポジ（評価）	0.994366	高邁です
ポジ（評価）	0.994366	高邁だ
ポジ（評価）	0.9943540000000001	愛らしい
ポジ（評価）	0.994296	しおらしい
ポジ（評価）	0.9941200000000001	瑞瑞しい
ポジ（評価）	0.9940040000000001	鑽仰
ポジ（評価）	0.9939370000000001	精良だ
ポジ（評価）	0.9939370000000001	精良です
ポジ（経験）	0.993768	落ち着く
ポジ（評価）	0.993674	際立つ
ポジ（評価）	0.993552	清清しい
ポジ（評価）	0.9935510000000001	高貴の
ポジ（評価）	0.9935510000000001	高貴です
ポジ（評価）	0.9935510000000001	高貴だ
ポジ（評価）	0.993448	秀麗だ
ポジ（評価）	0.993448	秀麗です
ポジ（評価）	0.993334	豪気だ
ポジ（評価）	0.993334	豪気です
ポジ（評価）	0.993288	聡明
ポジ（評価）	0.993224	炯眼だ
ポジ（評価）	0.993224	炯眼です
ポジ（評価）	0.993009	分相応だ
ポジ（評価）	0.993009	分相応です
ポジ（評価）	0.992994	力強い
ポジ（評価）	0.9929819999999999	可愛い
ポジ（評価）	0.9928899999999999	利く
ポジ（評価）	0.9928879999999999	美しい
ポジ（評価）	0.9928549999999999	情深い
ポジ（評価）	0.992775	優良だ
ポジ（評価）	0.992775	優良です
ポジ（評価）	0.992775	優良の
ポジ（評価）	0.99261	幅利きの
ポジ（評価）	0.99261	幅利きだ
ポジ（評価）	0.99261	幅利きです
ポジ（評価）	0.992458	賑わしい
ポジ（評価）	0.9923649999999999	若若しい
ポジ（評価）	0.992345	慧眼だ
ポジ（評価）	0.992345	慧眼です
ポジ（評価）	0.9921399999999999	メリットがある
ポジ（経験）	0.992131	愛される
ポジ（評価）	0.992108	見目好い
ポジ（評価）	0.991942	崇高だ
ポジ（評価）	0.991942	崇高です
ポジ（評価）	0.9917530000000001	相応しい
ポジ（評価）	0.9915799999999999	得難い
ポジ（評価）	0.991482	上等だ
ポジ（評価）	0.991482	上等です
ポジ（評価）	0.991482	上等の
ポジ（評価）	0.991405	頼もしい
ポジ（評価）	0.99136	美味しい
ポジ（評価）	0.99135	逞しい
ポジ（評価）	0.991265	生き生き
ポジ（経験）	0.9911139999999999	慣れる
ポジ（評価）	0.990959	快哉だ
ポジ（評価）	0.990959	快哉です
ポジ（評価）	0.990959	快哉の
ポジ（評価）	0.9904120000000001	すすどい
ポジ（評価）	0.9903540000000001	尊い
ポジ（評価）	0.990246	上根
ポジ（経験）	0.990167	改める
ポジ（評価）	0.9900610000000001	微笑ましい
ポジ（評価）	0.989886	明敏です
ポジ（評価）	0.989886	明敏だ
ポジ（評価）	0.989886	明敏
ポジ（評価）	0.9898680000000001	充溢
ポジ（経験）	0.9897729999999999	救う
ポジ（評価）	0.989767	端麗です
ポジ（評価）	0.989767	端麗だ
ポジ（評価）	0.989749	紳士的だ
ポジ（評価）	0.989749	紳士的です
ポジ（評価）	0.989699	親しい
ポジ（評価）	0.98965	雄渾だ
ポジ（評価）	0.98965	雄渾です
ポジ（評価）	0.989597	有難い
ポジ（評価）	0.9893860000000001	ぴか一だ
ポジ（評価）	0.9893860000000001	ぴか一の
ポジ（評価）	0.9893860000000001	ぴか一です
ポジ（経験）	0.9893489999999999	寛ぐ
ポジ（評価）	0.9893069999999999	広壮だ
ポジ（評価）	0.9893069999999999	広壮です
ポジ（評価）	0.9893069999999999	広壮の
ポジ（評価）	0.9891989999999999	面白い
ポジ（評価）	0.9891989999999999	面白可笑しい
ポジ（評価）	0.989073	ぴちぴち
ポジ（評価）	0.9890049999999999	神神しい
ポジ（評価）	0.988981	別懇だ
ポジ（評価）	0.988981	別懇です
